#datetime;#system_name;#system_location;#event;#sent_to;#received_from;#error;
2016-09-03 21:36:09.828313;BlackBabyForFreedom;192.168.2.114;udp log file created;;;;
2016-09-03 21:36:10.138034;BlackBabyForFreedom;192.168.2.114;test connection;('192.168.2.114', 49976);;;
2016-09-03 21:36:10.138233;BlackBabyForFreedom;192.168.2.114;SERVER NOT RUNNING;;;;
2016-09-03 21:36:10.138373;BlackBabyForFreedom;192.168.2.114;exit script;;;;
2016-09-03 21:38:47.296154;BlackBabyForFreedom;192.168.2.114;test connection;('127.0.0.1', 49976);;;
2016-09-03 21:38:48.297085;BlackBabyForFreedom;192.168.2.114;sending opener;('127.0.0.1', 49975);;;
2016-09-03 21:38:48.297268;BlackBabyForFreedom;192.168.2.114;expecting 100 packets;;('127.0.0.1', 49975);;
2016-09-03 21:38:58.307635;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 1;('127.0.0.1', 49975);;;
2016-09-03 21:39:08.318672;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 2;('127.0.0.1', 49975);;;
2016-09-03 21:39:18.329750;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 3;('127.0.0.1', 49975);;;
2016-09-03 21:39:28.340574;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 4;('127.0.0.1', 49975);;;
2016-09-03 21:39:38.346950;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 5;('127.0.0.1', 49975);;;
2016-09-03 21:39:48.357967;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 6;('127.0.0.1', 49975);;;
2016-09-03 21:39:58.369039;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 7;('127.0.0.1', 49975);;;
2016-09-03 21:40:08.380063;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 8;('127.0.0.1', 49975);;;
2016-09-03 21:40:18.390941;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 9;('127.0.0.1', 49975);;;
2016-09-03 21:40:28.401912;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 10;('127.0.0.1', 49975);;;
2016-09-03 21:40:38.412452;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 11;('127.0.0.1', 49975);;;
2016-09-03 21:40:57.988730;BlackBabyForFreedom;192.168.2.114;test connection;('127.0.0.1', 49976);;;
2016-09-03 21:40:58.989521;BlackBabyForFreedom;192.168.2.114;sending opener;('127.0.0.1', 49975);;;
2016-09-03 21:40:58.989709;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('127.0.0.1', 49975);;
2016-09-03 21:41:09.000080;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 1;('127.0.0.1', 49975);;;
2016-09-03 21:41:19.011043;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 2;('127.0.0.1', 49975);;;
2016-09-03 21:41:29.022086;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 3;('127.0.0.1', 49975);;;
2016-09-03 21:41:39.033156;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 4;('127.0.0.1', 49975);;;
2016-09-03 21:41:49.044053;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 5;('127.0.0.1', 49975);;;
2016-09-03 21:41:49.044450;BlackBabyForFreedom;192.168.2.114;exit script;;;;
2016-09-03 21:43:22.913800;BlackBabyForFreedom;192.168.2.114;test connection;('127.0.0.1', 49976);;;
2016-09-03 21:43:23.914475;BlackBabyForFreedom;192.168.2.114;sending opener;('127.0.0.1', 49975);;;
2016-09-03 21:43:23.914663;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('127.0.0.1', 49975);;
2016-09-03 21:43:23.915255;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 1;('127.0.0.1', 49975);;;
2016-09-03 21:43:23.915680;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 2;('127.0.0.1', 49975);;;
2016-09-03 21:43:23.916104;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 3;('127.0.0.1', 49975);;;
2016-09-03 21:43:23.916525;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 4;('127.0.0.1', 49975);;;
2016-09-03 21:43:23.916938;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 5;('127.0.0.1', 49975);;;
2016-09-03 21:43:23.917120;BlackBabyForFreedom;192.168.2.114;exit script;;;;
2016-09-03 21:43:42.231572;BlackBabyForFreedom;192.168.2.114;test connection;('127.0.0.1', 49976);;;
2016-09-03 21:43:43.232422;BlackBabyForFreedom;192.168.2.114;sending opener;('127.0.0.1', 49975);;;
2016-09-03 21:43:43.232657;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('127.0.0.1', 49975);;
2016-09-03 21:43:43.233461;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 1;('127.0.0.1', 49975);;;
2016-09-03 21:43:43.234074;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 2;('127.0.0.1', 49975);;;
2016-09-03 21:43:43.234703;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 3;('127.0.0.1', 49975);;;
2016-09-03 21:43:43.235342;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 4;('127.0.0.1', 49975);;;
2016-09-03 21:43:43.235953;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 5;('127.0.0.1', 49975);;;
2016-09-03 21:43:43.236250;BlackBabyForFreedom;192.168.2.114;exit script;;;;
2016-09-03 21:44:46.277176;BlackBabyForFreedom;192.168.2.114;test connection;('127.0.0.1', 49976);;;
2016-09-03 21:44:48.276116;BlackBabyForFreedom;192.168.2.114;sending opener;('127.0.0.1', 49975);;;
2016-09-03 21:44:48.276583;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('127.0.0.1', 49975);;
2016-09-03 21:44:48.278184;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 1;('127.0.0.1', 49975);;;
2016-09-03 21:44:48.279409;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 2;('127.0.0.1', 49975);;;
2016-09-03 21:44:48.280603;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 3;('127.0.0.1', 49975);;;
2016-09-03 21:44:48.281774;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 4;('127.0.0.1', 49975);;;
2016-09-03 21:44:48.283040;BlackBabyForFreedom;192.168.2.114;10s timeout after sending packet 5;('127.0.0.1', 49975);;;
2016-09-03 21:44:48.283751;BlackBabyForFreedom;192.168.2.114;exit script;;;;
2016-09-03 21:49:47.927379;BlackBabyForFreedom;192.168.2.114;test connection;('127.0.0.1', 49976);;;
2016-09-03 21:49:49.927440;BlackBabyForFreedom;192.168.2.114;sending opener;('127.0.0.1', 49975);;;
2016-09-03 21:49:49.927636;BlackBabyForFreedom;192.168.2.114;expecting 5 packets;;('127.0.0.1', 49975);;
2016-09-03 21:49:49.970891;BlackBabyForFreedom;192.168.2.114;exit script;;;;
